,5,6,7,8,9,10
64,0.0,0.0,0.0,0.0,0.0,0.0
128,-0.23875984251968546,0.0,0.0,0.0,0.0,0.0
256,-0.1445139346061027,-0.24091241638796007,-0.012418300653594644,0.0,0.0,0.0
512,-0.012519234328232029,-0.114870442559046,-0.2627118644067796,-0.25,0.0,0.0
1024,0.0,-0.008771769577396116,-0.11464478094562072,-0.19190003281250373,-0.2726112690095158,-0.041534870815651936
2048,0.0,0.00497512437810943,0.005689900426742556,-0.016405573163321474,-0.11420465993321463,-0.1692913385826772
4096,0.0,0.004683840749414525,0.005134788189987138,0.006849315068493178,0.0024912805181863673,-0.05276245954406822
8192,0.0,0.004555808656036442,0.006045949214026569,0.009637853286284637,0.016751157027911634,0.002195389681668547
16384,0.0,0.004494382022471877,0.005868544600938996,0.013550135501354976,0.02754324839366601,0.0508633004087089
